Product ID,Product Category,Product Subcategory,Product Name,Product Description,Product Price,Product Weight,Product Size,Order ID,Customer ID,Order Date,Order Status,Order Quantity,Order Total,Payment Method
1001,Mountain bikes,Cross Country, TrailBlazer 1000 ,Lightweight and versatile,1200.0,25.0,M,2001,3001,2023-03-01,Shipped,2,2400.0,Credit Card
1002,Mountain bikes,Cross Country,TrailBlazer 2000,High-performance mountain bike,1500.0,22.0,L,2002,3002,2023-03-02,Processing,1,1500.0,PayPal
1003,Road bikes,Racing,SpeedMaster 1000 ,Agile and aerodynamic road bike,1800.0,18.0,S,2003,3003,2023-03-03,Cancelled,3,5400.0,Credit Card
1004,Road bikes,Racing,SpeedMaster 2000,Premium racing road bike,2100.0,16.0,L,2004,3004,2023-03-04,Shipped,1,2100.0,Credit Card
1005,Touring bikes,Long Distance,Explorer 1000 ,Comfortable and durable touring bike,1300.0,27.0,M,2005,3005,2023-03-05,Processing,2,2600.0,PayPal
1006,Touring bikes,Long Distance,Explorer 2000,Advanced touring bike,1600.0,24.0,L,2006,3006,2023-03-06,Shipped,1,1600.0,Credit Card
1007,Mountain bikes,Downhill,GravityMaster 1000,Rugged and durable downhill bike,2200.0,29.0,M,2007,3007,2023-03-07,Shipped,2,4400.0,PayPal
1008,Mountain bikes,Downhill,       GravityMaster 2000 ,High-performance Rugged and durable downhill bike,2500.0,27.0,L,2008,3008,2023-03-08,Processing,1,2500.0,Credit Card
1021,Mountain bikes,Trail,Pathfinder 1000,Agile trail bike for all skill levels,1100.0,24.0,M,2021,3021,2023-03-21,Shipped,2,2200.0,Credit Card
1022,Mountain bikes,Trail,Pathfinder 2000,High-performance trail bike,1400.0,21.0,L,2022,3022,2023-03-22,Processing,1,1400.0,PayPal
1023,Road bikes,Touring,    Voyager 1000    ,Comfortable touring road bike,1700.0,20.0,M,2023,3023,2023-03-23,Cancelled,3,5100.0,Credit Card
1024,Road bikes,Touring,Voyager 2000,Advanced touring road bike,2000.0,18.0,L,2024,3024,2023-03-24,Shipped,1,2000.0,Credit Card
1025,Touring bikes,,Adventurer 1000,Durable bike for long adventures,1500.0,28.0,M,2025,3025,2023-03-25,Processing,2,3000.0,PayPal
1026,Touring bikes,Adventure,Adventurer 2000,Premium adventure touring bike,1800.0,26.0,L,2026,3026,2023-03-26,Shipped,1,1800.0,Credit Card
