,Product ID,Product Category,Product Subcategory,Product Name,Product Description,Product Price,Product Weight,Product Size,Order ID,Customer ID,Order Date,Order Status,Order Quantity,Order Total,Payment Method
0,1001,Mountain Bikes,Cross Country,TrailBlazer 1000,Lightweight and versatile,1200.0,25.0,M,2001,3001,2023-03-01,Shipped,2,2400.0,Credit Card
1,1002,Mountain Bikes,Cross Country,TrailBlazer 2000,High-performance mountain bike,1500.0,22.0,L,2002,3002,2023-03-02,Processing,1,1500.0,PayPal
2,1003,Road Bikes,Racing,SpeedMaster 1000,Agile and aerodynamic road bike,1800.0,18.0,M,2003,3003,2023-03-03,Cancelled,3,5400.0,Credit Card
3,1004,Road Bikes,Racing,SpeedMaster 2000,Premium racing road bike,2100.0,16.0,L,2004,3004,2023-03-04,Shipped,1,2100.0,Credit Card
4,1005,Touring Bikes,Long Distance,Explorer 1000,Comfortable and durable touring bike,1300.0,27.0,M,2005,3005,2023-03-05,Processing,2,2600.0,PayPal
5,1006,Touring Bikes,Long Distance,Explorer 2000,Advanced touring bike,1600.0,24.0,L,2006,3006,2023-03-06,Shipped,1,1600.0,Credit Card
6,1007,Mountain Bikes,Downhill,GravityMaster 1000,Rugged and durable downhill bike,2200.0,29.0,M,2007,3007,2023-03-07,Shipped,2,4400.0,PayPal
7,1008,Mountain Bikes,Downhill,GravityMaster 2000,Extreme downhill performance,2500.0,27.0,L,2008,3008,2023-03-08,Processing,1,2500.0,Credit Card
8,1021,Mountain Bikes,Trail,Pathfinder 1000,Agile trail bike for all skill levels,1100.0,24.0,M,2021,3021,2023-03-21,Shipped,2,2200.0,Credit Card
9,1022,Mountain Bikes,Trail,Pathfinder 2000,High-performance trail bike,1400.0,21.0,L,2022,3022,2023-03-22,Processing,1,1400.0,PayPal
10,1023,Road Bikes,Touring,Voyager 1000,Comfortable touring road bike,1700.0,20.0,M,2023,3023,2023-03-23,Cancelled,3,5100.0,Credit Card
11,1024,Road Bikes,Touring,Voyager 2000,Advanced touring road bike,2000.0,18.0,L,2024,3024,2023-03-24,Shipped,1,2000.0,Credit Card
12,1025,Touring Bikes,Adventure,Adventurer 1000,Durable bike for long adventures,1500.0,28.0,M,2025,3025,2023-03-25,Processing,2,3000.0,PayPal
13,1026,Touring Bikes,Adventure,Adventurer 2000,Premium adventure touring bike,1800.0,26.0,L,2026,3026,2023-03-26,Shipped,1,1800.0,Credit Card
14,1027,Mountain Bikes,Enduro,EnduroMaster 1000,Endurance-focused mountain bike,2300.0,30.0,M,2027,3027,2023-03-27,Shipped,2,4600.0,PayPal
15,1028,Mountain Bikes,Enduro,EnduroMaster 2000,High-performance enduro mountain bike,2600.0,28.0,L,2028,3028,2023-03-28,Processing,1,2600.0,Credit Card
